	Unnamed: 0	Unnamed: 0.1	filename	onset	offset	event_label	start	name	original_label
1299	3904	8195	hBDrDdTPqEs_10.wav	6.202	6.587	BabyCry	10	hBDrDdTPqEs	/t/dd00002
1643	8747	11955	9zNcL0ixEAs_26.wav	0.0	1.037	BabyCry	26	9zNcL0ixEAs	/t/dd00002
1905	4176	7822	9MDokkfGnFk_80.wav	4.774	5.099	BabyCry	80	9MDokkfGnFk	/t/dd00002
473	3359	12016	M2b_240.wav	0.0	4.121	Other	240	M2b	/t/dd00005
559	10717	11090	6FUNTPPItAs_30.wav	9.676	10.0	Other	30	6FUNTPPItAs	/t/dd00005
1548	8471	797	07m3-FOJQ-Q_10.wav	5.626	6.096	BabyCry	10	07m3-FOJQ-Q	/t/dd00002
1666	8329	9274	UNI3g267uqY_30.wav	0.777	3.515	BabyCry	30	UNI3g267uqY	/t/dd00002
463	8477	8011	tQfIzmAmogw_10.wav	0.509	2.112	Other	10	tQfIzmAmogw	/t/dd00005
678	771	6746	14Y72r4KHos_70.wav	8.65	9.139	Other	70	14Y72r4KHos	/t/dd00001
2328	10892	16909	epvD5f58mdI_70.wav	5.858	6.787	BabyCry	70	epvD5f58mdI	/t/dd00002
1181	9453	13254	yfdl_10.wav	3.724	4.055	Other	10	yfdl	/m/0ytgt
1102	559	13706	XO6p5XN8K5E_30.wav	0.0	2.348	Other	30	XO6p5XN8K5E	/m/0ytgt
413	8300	12793	-dyX0fRe9Kw_30.wav	2.56	5.165	Other	30	-dyX0fRe9Kw	/t/dd00005
935	4638	3063	HU2g7BBO3FE_30.wav	5.846	6.78	Other	30	HU2g7BBO3FE	/m/0ytgt
279	4442	18415	KuLE8odpCc8_100.wav	2.378	3.551	Other	100	KuLE8odpCc8	/t/dd00135
592	5171	7931	V7eYUTO-Re8_160.wav	5.188	7.146	Other	160	V7eYUTO-Re8	/t/dd00005
885	6416	7017	0_21.wav	5.267	6.36	Other	21	0	/t/dd00001
1757	597	8193	hBDrDdTPqEs_10.wav	3.194	3.565	BabyCry	10	hBDrDdTPqEs	/t/dd00002
1914	197	7149	nFjox5eBjxw_150.wav	1.748	2.631	BabyCry	150	nFjox5eBjxw	/t/dd00002
1546	10066	14064	iFVi7Cbp2Cw_60.wav	8.551	10.0	BabyCry	60	iFVi7Cbp2Cw	/t/dd00002
1965	3273	11301	k319ckc7HvM_30.wav	4.069	4.585	BabyCry	30	k319ckc7HvM	/t/dd00002
934	6178	4959	0lR_30.wav	0.444	0.875	Other	30	0lR	/m/0ytgt
86	52	5028	0fxqC8rIRZA_320.wav	0.0	10.0	Other	320	0fxqC8rIRZA	/t/dd00013
1228	4593	18005	dY8YjaA0blY_30.wav	0.645	2.649	BabyCry	30	dY8YjaA0blY	/t/dd00002
2290	3136	15235	YaE_140.wav	8.778	9.706	BabyCry	140	YaE	/t/dd00002
1842	5432	18634	GhOXDKsmewM_30.wav	9.14	9.991	BabyCry	30	GhOXDKsmewM	/t/dd00002
1568	8941	10615	mRPZ84Ich-s_30.wav	9.436	10.0	BabyCry	30	mRPZ84Ich-s	/t/dd00002
1731	8610	15213	PA0kmaKo84Q_60.wav	5.806	6.407	BabyCry	60	PA0kmaKo84Q	/t/dd00002
1226	4331	14471	voTs1odFCAI_10.wav	1.428	3.75	BabyCry	10	voTs1odFCAI	/t/dd00002
482	2337	18925	d-svfUMX3BM_10.wav	3.224	8.115	Other	10	d-svfUMX3BM	/t/dd00005
192	985	18344	R8HchmsKBPg_230.wav	0.0	0.646	Other	230	R8HchmsKBPg	/t/dd00135
1775	7151	6418	3DP_10.wav	5.903	7.562	BabyCry	10	3DP	/t/dd00002
1065	9303	256	N7dvsk67MNI_30.wav	9.162	9.818	Other	30	N7dvsk67MNI	/m/0ytgt
991	5847	4604	i6M0BNXBR7o_180.wav	3.442	4.234	Other	180	i6M0BNXBR7o	/m/0ytgt
1916	6605	15002	OCs66H_30.wav	0.0	0.453	BabyCry	30	OCs66H	/t/dd00002
2186	4907	10712	N1cTKfsnr0c_30.wav	9.781	10.0	BabyCry	30	N1cTKfsnr0c	/t/dd00002
66	3619	11492	rcO_130.wav	8.165	10.0	Other	130	rcO	/t/dd00013
1067	8817	18686	g4qJi2tipZ8_30.wav	4.78	5.748	Other	30	g4qJi2tipZ8	/m/0ytgt
93	10745	1392	S4pyFzGmUhI_250.wav	4.959	10.0	Other	250	S4pyFzGmUhI	/t/dd00013
652	10624	13337	yG13LiNnYP0_70.wav	2.979	3.406	Other	70	yG13LiNnYP0	/t/dd00001
1116	381	3434	KY5kn8YSRmo_30.wav	2.539	3.784	Other	30	KY5kn8YSRmo	/m/0ytgt
477	394	2392	6QONAweTT1Q_30.wav	2.348	4.334	Other	30	6QONAweTT1Q	/t/dd00005
850	5942	15622	2i82jVZy1pk_100.wav	4.53	5.242	Other	100	2i82jVZy1pk	/t/dd00001
1071	8093	18733	XNu9y7kBzU8_510.wav	2.409	2.724	Other	510	XNu9y7kBzU8	/m/0ytgt
433	3300	4229	4ZyscgFRVjE_30.wav	3.982	6.825	Other	30	4ZyscgFRVjE	/t/dd00005
514	3763	9022	Ms-z3kOe1VM_30.wav	0.0	0.228	Other	30	Ms-z3kOe1VM	/t/dd00005
506	9390	17270	043ltTrTSno_150.wav	6.189	10.0	Other	150	043ltTrTSno	/t/dd00005
405	5397	18133	26OpBUZbdPw_18.wav	5.643	6.672	Other	18	26OpBUZbdPw	/t/dd00005
797	331	8726	FUrdx1km6Lw_19.wav	4.121	5.624	Other	19	FUrdx1km6Lw	/t/dd00001
1786	1652	11247	4V3TFiHFqDc_120.wav	0.697	1.97	BabyCry	120	4V3TFiHFqDc	/t/dd00002
1869	8485	7126	rQspuzS5jMs_29.wav	0.0	2.927	BabyCry	29	rQspuzS5jMs	/t/dd00002
767	6882	1415	SecUr-DAjG8_100.wav	2.874	3.394	Other	100	SecUr-DAjG8	/t/dd00001
89	1787	6631	nKZxvDNw0r4_60.wav	0.0	10.0	Other	60	nKZxvDNw0r4	/t/dd00013
153	3249	18335	OVsU-mVGCtc_290.wav	8.157	10.0	Other	290	OVsU-mVGCtc	/t/dd00135
975	5096	15977	8oiyVt6-erA_560.wav	2.621	3.234	Other	560	8oiyVt6-erA	/m/0ytgt
2320	9827	12944	2YRktz9U1EQ_30.wav	1.582	1.731	BabyCry	30	2YRktz9U1EQ	/t/dd00002
694	11116	9079	bpwsd9wZiKk_50.wav	9.872	10.0	Other	50	bpwsd9wZiKk	/t/dd00001
68	2261	13698	xCe7bRM7biU_0.wav	8.73	9.23	Other	0	xCe7bRM7biU	/t/dd00013
623	9187	8298	Dys7UG1-R0g_480.wav	3.268	3.715	Other	480	Dys7UG1-R0g	/t/dd00001
1839	10881	7141	LcsfTpDDYkA_0.wav	1.044	1.724	BabyCry	0	LcsfTpDDYkA	/t/dd00002
1272	3454	1053	9xls_30.wav	8.492	10.0	BabyCry	30	9xls	/t/dd00002
1837	4529	1592	6E3ye6qWoAE_40.wav	0.0	1.257	BabyCry	40	6E3ye6qWoAE	/t/dd00002
2338	8531	591	d9JpfC5mJv0_21.wav	3.97	4.863	BabyCry	21	d9JpfC5mJv0	/t/dd00002
1598	5970	6053	e8Ttks8PSyw_20.wav	3.243	3.528	BabyCry	20	e8Ttks8PSyw	/t/dd00002
247	6555	15292	dHDXGQj79ZI_150.wav	7.88	10.0	Other	150	dHDXGQj79ZI	/t/dd00135
1944	10050	14816	MQ9klWTwbbI_110.wav	3.492	4.975	BabyCry	110	MQ9klWTwbbI	/t/dd00002
467	9325	15909	6drNG-JauK0_30.wav	5.269	7.276	Other	30	6drNG-JauK0	/t/dd00005
1253	8340	444	sh92-75RR3E_21.wav	0.0	1.42	BabyCry	21	sh92-75RR3E	/t/dd00002
777	8885	18542	9kFZhnbKUXo_30.wav	2.724	3.287	Other	30	9kFZhnbKUXo	/t/dd00001
106	7714	16425	Wa2xihNkIPE_30.wav	0.0	10.0	Other	30	Wa2xihNkIPE	/t/dd00013
1639	8913	15215	PA0kmaKo84Q_60.wav	7.958	8.113	BabyCry	60	PA0kmaKo84Q	/t/dd00002
1274	8163	4192	ikyuvMEe1Bw_30.wav	1.652	2.586	BabyCry	30	ikyuvMEe1Bw	/t/dd00002
2272	6591	11396	HUrt-wFxTEY_50.wav	7.117	7.488	BabyCry	50	HUrt-wFxTEY	/t/dd00002
2233	998	13639	lmcPFDI9F5U_30.wav	4.101	4.385	BabyCry	30	lmcPFDI9F5U	/t/dd00002
1428	8990	879	ESM5iFLydek_130.wav	7.157	7.827	BabyCry	130	ESM5iFLydek	/t/dd00002
2278	4167	6750	2_16.wav	8.157	8.858	BabyCry	16	2	/t/dd00002
1152	2413	14024	wunbhnpGMFs_40.wav	0.402	0.748	Other	40	wunbhnpGMFs	/m/0ytgt
1966	1502	6832	cSQgXfKefYo_18.wav	0.463	3.946	BabyCry	18	cSQgXfKefYo	/t/dd00002
