	filename	event_label	onset	offset	start	name	original_label
0	-THl_72tO8I_4.wav	Other	0.0	3.81	4	-THl_72tO8I	Other
1	-THl_72tO8I_4.wav	BabyCry	3.81	6.34	4	-THl_72tO8I	BabyCry
2	-THl_72tO8I_4.wav	Other	6.34	10.0	4	-THl_72tO8I	Other
3	i13woB5tvQE_30.wav	BabyCry	0.0	2.11	30	i13woB5tvQE	BabyCry
4	i13woB5tvQE_30.wav	Other	2.11	2.5	30	i13woB5tvQE	Other
5	i13woB5tvQE_30.wav	BabyCry	2.5	4.17	30	i13woB5tvQE	BabyCry
6	i13woB5tvQE_30.wav	Other	4.17	5.06	30	i13woB5tvQE	Other
7	i13woB5tvQE_30.wav	BabyCry	5.06	5.24	30	i13woB5tvQE	BabyCry
8	i13woB5tvQE_30.wav	Other	5.24	5.38	30	i13woB5tvQE	Other
9	i13woB5tvQE_30.wav	BabyCry	5.38	5.61	30	i13woB5tvQE	BabyCry
10	i13woB5tvQE_30.wav	Other	5.61	5.79	30	i13woB5tvQE	Other
11	i13woB5tvQE_30.wav	BabyCry	5.79	5.92	30	i13woB5tvQE	BabyCry
12	i13woB5tvQE_30.wav	Other	5.92	6.11	30	i13woB5tvQE	Other
13	i13woB5tvQE_30.wav	BabyCry	6.11	6.3	30	i13woB5tvQE	BabyCry
14	i13woB5tvQE_30.wav	Other	6.3	6.58	30	i13woB5tvQE	Other
15	i13woB5tvQE_30.wav	BabyCry	6.58	8.68	30	i13woB5tvQE	BabyCry
16	i13woB5tvQE_30.wav	Other	8.68	8.93	30	i13woB5tvQE	Other
17	i13woB5tvQE_30.wav	BabyCry	8.93	9.16	30	i13woB5tvQE	BabyCry
18	i13woB5tvQE_30.wav	Other	9.16	9.31	30	i13woB5tvQE	Other
19	i13woB5tvQE_30.wav	BabyCry	9.31	9.47	30	i13woB5tvQE	BabyCry
20	i13woB5tvQE_30.wav	Other	9.47	9.72	30	i13woB5tvQE	Other
21	i13woB5tvQE_30.wav	BabyCry	9.72	10.0	30	i13woB5tvQE	BabyCry
22	siEhzf9cop8_4.wav	Other	0.0	7.91	4	siEhzf9cop8	Other
23	siEhzf9cop8_4.wav	BabyCry	7.91	9.74	4	siEhzf9cop8	BabyCry
24	siEhzf9cop8_4.wav	Other	9.74	10.0	4	siEhzf9cop8	Other
25	8mU1Q6ffIqg_23.wav	BabyCry	0.0	4.46	23	8mU1Q6ffIqg	BabyCry
26	8mU1Q6ffIqg_23.wav	Other	4.46	4.92	23	8mU1Q6ffIqg	Other
27	8mU1Q6ffIqg_23.wav	BabyCry	4.92	9.25	23	8mU1Q6ffIqg	BabyCry
28	8mU1Q6ffIqg_23.wav	Other	9.25	10.0	23	8mU1Q6ffIqg	Other
29	i-28wN9CvyM_17.wav	BabyCry	0.0	0.19	17	i-28wN9CvyM	BabyCry
30	i-28wN9CvyM_17.wav	Other	0.19	0.56	17	i-28wN9CvyM	Other
31	i-28wN9CvyM_17.wav	BabyCry	0.56	2.54	17	i-28wN9CvyM	BabyCry
32	i-28wN9CvyM_17.wav	Other	2.54	2.86	17	i-28wN9CvyM	Other
33	i-28wN9CvyM_17.wav	BabyCry	2.86	7.61	17	i-28wN9CvyM	BabyCry
34	i-28wN9CvyM_17.wav	Other	7.61	8.34	17	i-28wN9CvyM	Other
35	i-28wN9CvyM_17.wav	BabyCry	8.34	9.68	17	i-28wN9CvyM	BabyCry
36	i-28wN9CvyM_17.wav	Other	9.68	10.0	17	i-28wN9CvyM	Other
37	EQkYsCRkPrE_14.wav	Other	0.0	5.38	14	EQkYsCRkPrE	Other
38	EQkYsCRkPrE_14.wav	BabyCry	5.38	8.63	14	EQkYsCRkPrE	BabyCry
39	EQkYsCRkPrE_14.wav	Other	8.63	10.0	14	EQkYsCRkPrE	Other
40	FurQtQsHByM_20.wav	Other	0.0	0.13	20	FurQtQsHByM	Other
41	FurQtQsHByM_20.wav	BabyCry	0.13	0.5	20	FurQtQsHByM	BabyCry
42	FurQtQsHByM_20.wav	Other	0.5	0.75	20	FurQtQsHByM	Other
43	FurQtQsHByM_20.wav	BabyCry	0.75	1.23	20	FurQtQsHByM	BabyCry
44	FurQtQsHByM_20.wav	Other	1.23	1.41	20	FurQtQsHByM	Other
45	FurQtQsHByM_20.wav	BabyCry	1.41	2.99	20	FurQtQsHByM	BabyCry
46	FurQtQsHByM_20.wav	Other	2.99	10.0	20	FurQtQsHByM	Other
47	XhmW4tY5V3M_30.wav	BabyCry	0.0	0.62	30	XhmW4tY5V3M	BabyCry
48	XhmW4tY5V3M_30.wav	Other	0.62	0.86	30	XhmW4tY5V3M	Other
49	XhmW4tY5V3M_30.wav	BabyCry	0.86	2.22	30	XhmW4tY5V3M	BabyCry
50	XhmW4tY5V3M_30.wav	Other	2.22	2.33	30	XhmW4tY5V3M	Other
51	XhmW4tY5V3M_30.wav	BabyCry	2.33	2.9	30	XhmW4tY5V3M	BabyCry
52	XhmW4tY5V3M_30.wav	Other	2.9	3.12	30	XhmW4tY5V3M	Other
53	XhmW4tY5V3M_30.wav	BabyCry	3.12	3.63	30	XhmW4tY5V3M	BabyCry
54	XhmW4tY5V3M_30.wav	Other	3.63	3.93	30	XhmW4tY5V3M	Other
55	XhmW4tY5V3M_30.wav	BabyCry	3.93	5.18	30	XhmW4tY5V3M	BabyCry
56	XhmW4tY5V3M_30.wav	Other	5.18	10.0	30	XhmW4tY5V3M	Other
57	AaNZJHUXraw_10.wav	BabyCry	0.0	0.5	10	AaNZJHUXraw	BabyCry
58	AaNZJHUXraw_10.wav	Other	0.5	0.61	10	AaNZJHUXraw	Other
59	AaNZJHUXraw_10.wav	BabyCry	0.61	1.54	10	AaNZJHUXraw	BabyCry
60	AaNZJHUXraw_10.wav	Other	1.54	1.67	10	AaNZJHUXraw	Other
61	AaNZJHUXraw_10.wav	BabyCry	1.67	2.03	10	AaNZJHUXraw	BabyCry
62	AaNZJHUXraw_10.wav	Other	2.03	2.27	10	AaNZJHUXraw	Other
63	AaNZJHUXraw_10.wav	BabyCry	2.27	4.18	10	AaNZJHUXraw	BabyCry
64	AaNZJHUXraw_10.wav	Other	4.18	4.3	10	AaNZJHUXraw	Other
65	AaNZJHUXraw_10.wav	BabyCry	4.3	5.45	10	AaNZJHUXraw	BabyCry
66	AaNZJHUXraw_10.wav	Other	5.45	5.62	10	AaNZJHUXraw	Other
67	AaNZJHUXraw_10.wav	BabyCry	5.62	8.74	10	AaNZJHUXraw	BabyCry
68	AaNZJHUXraw_10.wav	Other	8.74	8.96	10	AaNZJHUXraw	Other
69	AaNZJHUXraw_10.wav	BabyCry	8.96	10.0	10	AaNZJHUXraw	BabyCry
70	3uVdX0Yg2Mg_50.wav	BabyCry	0.0	0.5	50	3uVdX0Yg2Mg	BabyCry
71	3uVdX0Yg2Mg_50.wav	Other	0.5	0.64	50	3uVdX0Yg2Mg	Other
72	3uVdX0Yg2Mg_50.wav	BabyCry	0.64	1.18	50	3uVdX0Yg2Mg	BabyCry
73	3uVdX0Yg2Mg_50.wav	Other	1.18	1.39	50	3uVdX0Yg2Mg	Other
74	3uVdX0Yg2Mg_50.wav	BabyCry	1.39	1.8	50	3uVdX0Yg2Mg	BabyCry
75	3uVdX0Yg2Mg_50.wav	Other	1.8	3.66	50	3uVdX0Yg2Mg	Other
76	3uVdX0Yg2Mg_50.wav	BabyCry	3.66	4.26	50	3uVdX0Yg2Mg	BabyCry
77	3uVdX0Yg2Mg_50.wav	Other	4.26	4.4	50	3uVdX0Yg2Mg	Other
78	3uVdX0Yg2Mg_50.wav	BabyCry	4.4	5.12	50	3uVdX0Yg2Mg	BabyCry
79	3uVdX0Yg2Mg_50.wav	Other	5.12	5.24	50	3uVdX0Yg2Mg	Other
80	3uVdX0Yg2Mg_50.wav	BabyCry	5.24	7.84	50	3uVdX0Yg2Mg	BabyCry
81	3uVdX0Yg2Mg_50.wav	Other	7.84	8.03	50	3uVdX0Yg2Mg	Other
82	3uVdX0Yg2Mg_50.wav	BabyCry	8.03	10.0	50	3uVdX0Yg2Mg	BabyCry
83	sh92-75RR3E_21.wav	BabyCry	0.0	1.42	21	sh92-75RR3E	BabyCry
84	sh92-75RR3E_21.wav	Other	1.42	1.81	21	sh92-75RR3E	Other
85	sh92-75RR3E_21.wav	BabyCry	1.81	2.31	21	sh92-75RR3E	BabyCry
86	sh92-75RR3E_21.wav	Other	2.31	2.76	21	sh92-75RR3E	Other
87	sh92-75RR3E_21.wav	BabyCry	2.76	3.8	21	sh92-75RR3E	BabyCry
88	sh92-75RR3E_21.wav	Other	3.8	5.01	21	sh92-75RR3E	Other
89	sh92-75RR3E_21.wav	BabyCry	5.01	6.18	21	sh92-75RR3E	BabyCry
90	sh92-75RR3E_21.wav	Other	6.18	6.96	21	sh92-75RR3E	Other
91	sh92-75RR3E_21.wav	BabyCry	6.96	7.69	21	sh92-75RR3E	BabyCry
